F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    76    75  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 S  1000    81    76  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 S  1000    85    81  0  80   0 - 237131 -     pts/1    00:00:46 node
0 S  1000   105    85  0  80   0 - 159321 -     pts/1    00:00:05 node
0 S  1000   144    85  0  80   0 - 249096 -     pts/1    00:01:11 node
0 S  1000   155    85  0  80   0 - 176107 -     pts/1    00:00:02 node
0 S  1000   262    85  0  80   0 - 176044 -     pts/1    00:00:02 node
0 S  1000   275    85  0  80   0 - 189158 -     pts/1    00:00:51 node
0 S  1000   543   144  0  80   0 - 296631 -     pts/1    00:00:02 cpptools
0 S  1000   577    74  0  80   0 - 1237458 futex_ pts/1  00:00:00 cpptools-srv
0 S  1000   658    85  0  80   0 - 208876 -     pts/1    00:00:00 node
0 S  1000   671    85  4  80   0 - 247970 -     pts/1    00:00:06 node
0 S  1000   715   671  3  80   0 - 364168 -     pts/1    00:00:04 cpptools
0 S  1000  1164   105  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 R  1000  1165  1164  0  80   0 -  2155 -      pts/1    00:00:00 cpuUsage.sh
0 R  1000  1169   768  0  80   0 -  2634 -      pts/8    00:00:00 ps
